date,height,highlow
03/15/2018 01:54 AM,1.81,H
03/15/2018 07:57 AM,0.12,L
03/15/2018 01:55 PM,1.09,H
03/15/2018 07:13 PM,-0.07,L
03/16/2018 02:21 AM,1.78,H
03/16/2018 08:19 AM,0.05,L
03/16/2018 02:29 PM,1.21,H
03/16/2018 07:53 PM,-0.05,L
03/17/2018 02:48 AM,1.71,H
03/17/2018 08:43 AM,-0.01,L
03/17/2018 03:07 PM,1.32,H
03/17/2018 08:35 PM,0,L
03/18/2018 03:15 AM,1.59,H
03/18/2018 09:10 AM,-0.07,L
03/18/2018 03:47 PM,1.42,H
03/18/2018 09:20 PM,0.09,L
03/19/2018 03:43 AM,1.43,H
03/19/2018 09:39 AM,-0.1,L
03/19/2018 04:32 PM,1.5,H
03/19/2018 10:11 PM,0.21,L
03/20/2018 04:12 AM,1.24,H
03/20/2018 10:10 AM,-0.11,L
03/20/2018 05:24 PM,1.56,H
03/20/2018 11:12 PM,0.34,L
03/21/2018 04:41 AM,1.02,H
03/21/2018 10:46 AM,-0.09,L
03/21/2018 06:26 PM,1.6,H
03/22/2018 12:33 AM,0.45,L
03/22/2018 05:13 AM,0.81,H
03/22/2018 11:28 AM,-0.05,L
03/22/2018 07:41 PM,1.63,H
03/23/2018 02:34 AM,0.48,L
03/23/2018 05:56 AM,0.62,H
03/23/2018 12:24 PM,0,L
03/23/2018 09:04 PM,1.7,H
03/24/2018 05:00 AM,0.38,L
03/24/2018 08:20 AM,0.49,H
03/24/2018 01:39 PM,0.05,L
03/24/2018 10:19 PM,1.79,H
03/25/2018 05:48 AM,0.27,L
03/25/2018 10:25 AM,0.54,H
03/25/2018 03:05 PM,0.05,L
03/25/2018 11:19 PM,1.88,H
03/26/2018 06:18 AM,0.18,L
03/26/2018 11:35 AM,0.69,H
03/26/2018 04:23 PM,0.01,L
03/27/2018 12:10 AM,1.93,H
03/27/2018 06:45 AM,0.1,L
03/27/2018 12:27 PM,0.88,H
03/27/2018 05:27 PM,-0.04,L
03/28/2018 12:53 AM,1.92,H
03/28/2018 07:10 AM,0.03,L
03/28/2018 01:11 PM,1.08,H
03/28/2018 06:23 PM,-0.06,L
03/29/2018 01:31 AM,1.86,H
03/29/2018 07:36 AM,-0.04,L
03/29/2018 01:53 PM,1.27,H
03/29/2018 07:13 PM,-0.06,L
03/30/2018 02:06 AM,1.74,H
03/30/2018 08:01 AM,-0.09,L
03/30/2018 02:33 PM,1.44,H
03/30/2018 08:01 PM,-0.01,L
03/31/2018 02:38 AM,1.58,H
03/31/2018 08:26 AM,-0.13,L
03/31/2018 03:13 PM,1.56,H
03/31/2018 08:48 PM,0.06,L
04/01/2018 03:09 AM,1.4,H
04/01/2018 08:52 AM,-0.15,L
04/01/2018 03:53 PM,1.64,H
04/01/2018 09:36 PM,0.16,L
04/02/2018 03:38 AM,1.2,H
04/02/2018 09:19 AM,-0.13,L
04/02/2018 04:35 PM,1.68,H
04/02/2018 10:27 PM,0.26,L
04/03/2018 04:07 AM,1,H
04/03/2018 09:47 AM,-0.09,L
04/03/2018 05:19 PM,1.67,H
04/03/2018 11:26 PM,0.35,L
04/04/2018 04:33 AM,0.81,H
04/04/2018 10:16 AM,-0.02,L
04/04/2018 06:10 PM,1.62,H
04/05/2018 12:41 AM,0.43,L
04/05/2018 04:58 AM,0.66,H
04/05/2018 10:49 AM,0.07,L
04/05/2018 07:10 PM,1.56,H
04/06/2018 02:50 AM,0.44,L
04/06/2018 05:16 AM,0.53,H
04/06/2018 11:31 AM,0.16,L
04/06/2018 08:23 PM,1.51,H
04/07/2018 05:27 AM,0.37,L
04/07/2018 08:28 AM,0.46,H
04/07/2018 12:36 PM,0.25,L
04/07/2018 09:36 PM,1.5,H
04/08/2018 05:41 AM,0.31,L
04/08/2018 10:26 AM,0.53,H
04/08/2018 02:07 PM,0.29,L
04/08/2018 10:38 PM,1.53,H
04/09/2018 05:55 AM,0.26,L
04/09/2018 11:22 AM,0.66,H
04/09/2018 03:33 PM,0.28,L
04/09/2018 11:26 PM,1.56,H
04/10/2018 06:08 AM,0.21,L
04/10/2018 12:01 PM,0.81,H
04/10/2018 04:40 PM,0.23,L
04/11/2018 12:05 AM,1.58,H
04/11/2018 06:24 AM,0.15,L
04/11/2018 12:35 PM,0.98,H
04/11/2018 05:33 PM,0.17,L
04/12/2018 12:38 AM,1.58,H
04/12/2018 06:42 AM,0.07,L
04/12/2018 01:08 PM,1.17,H
04/12/2018 06:20 PM,0.12,L
04/13/2018 01:08 AM,1.55,H
04/13/2018 07:03 AM,-0.02,L
